### Acordes
DO#locria ['DO#dim', 'REM', 'MIm', 'FA#m', 'SOLM', 'LAM', 'SIm']
REjonica ['REM', 'MIm', 'FA#m', 'SOLM', 'LAM', 'SIm', 'DO#dim']
REdorica ['REm', 'MIm', 'FAM', 'SOLM', 'LAm', 'SIdim', 'DOM']
REfrigia ['REm', 'RE#M', 'FAM', 'SOLm', 'LAdim', 'LA#M', 'DOm']
RElidia ['REM', 'MIM', 'FA#m', 'SOL#dim', 'LAM', 'SIm', 'DO#m']
REmixolidia ['REM', 'MIm', 'FA#dim', 'SOLM', 'LAm', 'SIm', 'DOM']
REeolica ['REm', 'MIdim', 'FAM', 'SOLm', 'LAm', 'LA#M', 'DOM']
RElocria ['REdim', 'RE#M', 'FAm', 'SOLm', 'SOL#M', 'LA#M', 'DOm']
RE#jonica ['RE#M', 'FAm', 'SOLm', 'SOL#M', 'LA#M', 'DOm', 'REdim']
RE#dorica ['RE#m', 'FAm', 'FA#M', 'SOL#M', 'LA#m', 'DOdim', 'DO#M']
RE#frigia ['RE#m', 'MIM', 'FA#M', 'SOL#m', 'LA#dim', 'SIM', 'DO#m']
RE#lidia ['RE#M', 'FAM', 'SOLm', 'LAdim', 'LA#M', 'DOm', 'REm']
RE#mixolidia ['RE#M', 'FAm', 'SOLdim', 'SOL#M', 'LA#m', 'DOm', 'DO#M']
RE#eolica ['RE#m', 'FAdim', 'FA#M', 'SOL#m', 'LA#m', 'SIM', 'DO#M']
RE#locria ['RE#dim', 'MIM', 'FA#m', 'SOL#m', 'LAM', 'SIM', 'DO#m']
MIjonica ['MIM', 'FA#m', 'SOL#m', 'LAM', 'SIM', 'DO#m', 'RE#dim']
MIdorica ['MIm', 'FA#m', 'SOLM', 'LAM', 'SIm', 'DO#dim', 'REM']
MIfrigia ['MIm', 'FAM', 'SOLM', 'LAm', 'SIdim', 'DOM', 'REm']
MIlidia ['MIM', 'FA#M', 'SOL#m', 'LA#dim', 'SIM', 'DO#m', 'RE#m']
MImixolidia ['MIM', 'FA#m', 'SOL#dim', 'LAM', 'SIm', 'DO#m', 'REM']
MIeolica ['MIm', 'FA#dim', 'SOLM', 'LAm', 'SIm', 'DOM', 'REM']
MIlocria ['MIdim', 'FAM', 'SOLm', 'LAm', 'LA#M', 'DOM', 'REm']
FAjonica ['FAM', 'SOLm', 'LAm', 'LA#M', 'DOM', 'REm', 'MIdim']
FAdorica ['FAm', 'SOLm', 'SOL#M', 'LA#M', 'DOm', 'REdim', 'RE#M']
FAfrigia ['FAm', 'FA#M', 'SOL#M', 'LA#m', 'DOdim', 'DO#M', 'RE#m']
FAlidia ['FAM', 'SOLM', 'LAm', 'SIdim', 'DOM', 'REm', 'MIm']
FAmixolidia ['FAM', 'SOLm', 'LAdim', 'LA#M', 'DOm', 'REm', 'RE#M']
FAeolica ['FAm', 'SOLdim', 'SOL#M', 'LA#m', 'DOm', 'DO#M', 'RE#M']
FAlocria ['FAdim', 'FA#M', 'SOL#m', 'LA#m', 'SIM', 'DO#M', 'RE#m']
FA#jonica ['FA#M', 'SOL#m', 'LA#m', 'SIM', 'DO#M', 'RE#m', 'FAdim']
FA#dorica ['FA#m', 'SOL#m', 'LAM', 'SIM', 'DO#m', 'RE#dim', 'MIM']
FA#frigia ['FA#m', 'SOLM', 'LAM', 'SIm', 'DO#dim', 'REM', 'MIm']
FA#lidia ['FA#M', 'SOL#M', 'LA#m', 'DOdim', 'DO#M', 'RE#m', 'FAm']
FA#mixolidia ['FA#M', 'SOL#m', 'LA#dim', 'SIM', 'DO#m', 'RE#m', 'MIM']
FA#eolica ['FA#m', 'SOL#dim', 'LAM', 'SIm', 'DO#m', 'REM', 'MIM']
FA#locria ['FA#dim', 'SOLM', 'LAm', 'SIm', 'DOM', 'REM', 'MIm']
SOLjonica ['SOLM', 'LAm', 'SIm', 'DOM', 'REM', 'MIm', 'FA#dim']
SOLdorica ['SOLm', 'LAm', 'LA#M', 'DOM', 'REm', 'MIdim', 'FAM']
SOLfrigia ['SOLm', 'SOL#M', 'LA#M', 'DOm', 'REdim', 'RE#M', 'FAm']
SOLlidia ['SOLM', 'LAM', 'SIm', 'DO#dim', 'REM', 'MIm', 'FA#m']
SOLmixolidia ['SOLM', 'LAm', 'SIdim', 'DOM', 'REm', 'MIm', 'FAM']
SOLeolica ['SOLm', 'LAdim', 'LA#M', 'DOm', 'REm', 'RE#M', 'FAM']
SOLlocria ['SOLdim', 'SOL#M', 'LA#m', 'DOm', 'DO#M', 'RE#M', 'FAm']
SOL#jonica ['SOL#M', 'LA#m', 'DOm', 'DO#M', 'RE#M', 'FAm', 'SOLdim']
SOL#dorica ['SOL#m', 'LA#m', 'SIM', 'DO#M', 'RE#m', 'FAdim', 'FA#M']
SOL#frigia ['SOL#m', 'LAM', 'SIM', 'DO#m', 'RE#dim', 'MIM', 'FA#m']
SOL#lidia ['SOL#M', 'LA#M', 'DOm', 'REdim', 'RE#M', 'FAm', 'SOLm']
SOL#mixolidia ['SOL#M', 'LA#m', 'DOdim', 'DO#M', 'RE#m', 'FAm', 'FA#M']
SOL#eolica ['SOL#m', 'LA#dim', 'SIM', 'DO#m', 'RE#m', 'MIM', 'FA#M']
SOL#locria ['SOL#dim', 'LAM', 'SIm', 'DO#m', 'REM', 'MIM', 'FA#m']
LAjonica ['LAM', 'SIm', 'DO#m', 'REM', 'MIM', 'FA#m', 'SOL#dim']
LAdorica ['LAm', 'SIm', 'DOM', 'REM', 'MIm', 'FA#dim', 'SOLM']
LAfrigia ['LAm', 'LA#M', 'DOM', 'REm', 'MIdim', 'FAM', 'SOLm']
LAlidia ['LAM', 'SIM', 'DO#m', 'RE#dim', 'MIM', 'FA#m', 'SOL#m']
LAmixolidia ['LAM', 'SIm', 'DO#dim', 'REM', 'MIm', 'FA#m', 'SOLM']
LAeolica ['LAm', 'SIdim', 'DOM', 'REm', 'MIm', 'FAM', 'SOLM']
LAlocria ['LAdim', 'LA#M', 'DOm', 'REm', 'RE#M', 'FAM', 'SOLm']
LA#jonica ['LA#M', 'DOm', 'REm', 'RE#M', 'FAM', 'SOLm', 'LAdim']
LA#dorica ['LA#m', 'DOm', 'DO#M', 'RE#M', 'FAm', 'SOLdim', 'SOL#M']
LA#frigia ['LA#m', 'SIM', 'DO#M', 'RE#m', 'FAdim', 'FA#M', 'SOL#m']
LA#lidia ['LA#M', 'DOM', 'REm', 'MIdim', 'FAM', 'SOLm', 'LAm']
LA#mixolidia ['LA#M', 'DOm', 'REdim', 'RE#M', 'FAm', 'SOLm', 'SOL#M']
LA#eolica ['LA#m', 'DOdim', 'DO#M', 'RE#m', 'FAm', 'FA#M', 'SOL#M']
LA#locria ['LA#dim', 'SIM', 'DO#m', 'RE#m', 'MIM', 'FA#M', 'SOL#m']
SIjonica ['SIM', 'DO#m', 'RE#m', 'MIM', 'FA#M', 'SOL#m', 'LA#dim']
SIdorica ['SIm', 'DO#m', 'REM', 'MIM', 'FA#m', 'SOL#dim', 'LAM']
SIfrigia ['SIm', 'DOM', 'REM', 'MIm', 'FA#dim', 'SOLM', 'LAm']
SIlidia ['SIM', 'DO#M', 'RE#m', 'FAdim', 'FA#M', 'SOL#m', 'LA#m']
SImixolidia ['SIM', 'DO#m', 'RE#dim', 'MIM', 'FA#m', 'SOL#m', 'LAM']
SIeolica ['SIm', 'DO#dim', 'REM', 'MIm', 'FA#m', 'SOLM', 'LAM']
SIlocria ['SIdim', 'DOM', 'REm', 'MIm', 'FAM', 'SOLM', 'LAm']

